label,pitch_range,av_pitch,min_pitch,max_pitch,pitch75,pitch25,av_first_pitch,av_end_pitch,num_change_points_pitch,num_change_points_loudness,max_loudness,min_loudness,loudness75,loudness25,direction_asc,direction_desc,duration,index,svara,timestep,track
0,483.1463953391795,-105.00247748189003,-280.2717350998308,202.8746602393487,123.49398885905521,-266.9481769333461,200.68473830439686,-269.3541089558277,4,6,3.8743324,-18.515778,-0.03244495391845703,-5.417427062988281,0,1,0.540008879438187,0.0,dha,0.003750061662765187,kamakshi
0,500.970458267519,816.8242803355848,658.3915202329881,1159.3619785005071,901.4989762429138,678.4280498796788,693.1325548922296,879.0634759462779,6,2,1.8244476,-33.702168,-7.657258987426758,-12.068183898925781,1,0,0.5287586944498914,1.0,dha,0.003750061662765187,kamakshi
0,315.707789190228,861.6656563609947,745.0440712811322,1060.7518604713603,965.974561826144,757.9640062949862,953.509705658246,758.9535140977977,6,2,1.1610146,-31.609474,-10.427349090576172,-20.208423614501953,0,1,0.521258571124361,2.0,dha,0.003750061662765187,kamakshi
0,545.0706225957433,819.1061229572447,682.2368603068253,1227.3074829025686,870.9659703054401,699.9102050398333,693.8295889638738,869.3297027744586,12,2,1.0977783,-33.947147,-14.604915618896484,-18.409446716308594,1,0,0.6525107293211426,3.0,dha,0.003750061662765187,kamakshi
0,80.0367476544476,798.4470066944373,742.6357569160041,822.6725045704517,812.1282276206249,788.5821427711184,794.296742152426,764.6704320534898,4,2,2.518238,-14.952404,-1.3897209167480469,-10.819293975830078,0,1,0.39375647459034463,4.0,dha,0.003750061662765187,kamakshi
0,336.97831292474143,731.6174606378542,523.723619564606,860.7019324893474,737.1704645637411,702.5588662258991,707.9922783374899,681.8582854456234,6,6,3.221775,-29.94678,0.9879331588745117,-2.545729637145996,0,1,0.4650076461828832,5.0,dha,0.003750061662765187,kamakshi
0,140.84204126235625,720.5468955079118,678.6140474135245,819.4560886758808,726.7478601208038,699.4378986772441,687.0160532756494,761.9964426300688,8,6,3.139618,-19.917408,0.16397571563720703,-4.730086326599121,1,0,0.4650076461828832,6.0,dha,0.003750061662765187,kamakshi
0,123.30941631585688,731.8737256483001,696.5128883815598,819.8223046974167,726.2464302840992,708.0219596987388,700.593549898557,817.3862419553175,6,2,1.1775513,-26.216843,-5.473907470703125,-10.316108703613281,1,0,0.4687577078456484,7.0,dha,0.003750061662765187,kamakshi
0,358.6802570196361,772.8441774873877,677.1454027125395,1035.8256597321756,735.2125432635968,714.3106482242574,705.8779945067325,1028.785919003415,6,2,1.2503471,-16.682175,-10.259384155273438,-14.674408912658691,1,0,0.3675060429509883,8.0,dha,0.003750061662765187,kamakshi
0,133.3715322810889,813.9125580016946,732.253656121104,865.6251884021929,831.0304734304025,801.0807917591978,815.4714795635817,746.7934544063348,4,4,2.0955124,-45.79628,-3.1459426879882812,-28.72311019897461,0,1,0.4912580778222395,9.0,dha,0.003750061662765187,kamakshi
