label,pitch_range,av_pitch,min_pitch,max_pitch,pitch75,pitch25,av_first_pitch,av_end_pitch,num_change_points_pitch,num_change_points_loudness,max_loudness,min_loudness,loudness75,loudness25,prec_pitch_range,av_prec_pitch,min_prec_pitch,max_prec_pitch,prec_pitch75,prec_pitch25,succ_pitch_range,av_succ_pitch,min_succ_pitch,max_succ_pitch,succ_pitch75,succ_pitch25,direction_asc,direction_desc,duration,index,svara,timestep,track
0,483.1463953391795,-105.00247748189003,-280.2717350998308,202.8746602393487,123.49398885905521,-266.9481769333461,200.68473830439686,-269.3541089558277,0,0,3.8743324,-18.515778,-0.03244495391845703,-5.417427062988281,80.23095571319837,219.04717273809655,183.62971238112075,263.8606680943191,238.1693812163706,200.50198960077773,174.75695921260458,-166.6365037887129,-297.32498512334917,-122.56802591074458,-128.8143120167879,-197.85659147771574,0,1,0.540008879438187,0.0,dha,0.003750061662765187,kamakshi
0,500.970458267519,816.8242803355848,658.3915202329881,1159.3619785005071,901.4989762429138,678.4280498796788,693.1325548922296,879.0634759462779,1,0,1.8244476,-33.702168,-7.657258987426758,-12.068183898925781,37.23929699975474,725.5547778909192,703.758271749992,740.9975687497467,729.5116793578713,722.7516113418824,390.9974172924112,977.5456869824305,883.7013353498498,1274.698752642261,990.3275837994727,902.863652514133,1,0,0.5287586944498914,1.0,dha,0.003750061662765187,kamakshi
0,315.707789190228,861.6656563609947,745.0440712811322,1060.7518604713603,965.974561826144,757.9640062949862,953.509705658246,758.9535140977977,3,0,1.1610146,-31.609474,-10.427349090576172,-20.208423614501953,685.3562187877325,1119.2427008476582,872.8123155406671,1558.1685343283996,1450.4971694113078,895.6444728719275,63.09617410161877,693.6634058865368,682.8453604029341,745.9415345045529,697.6047463527266,683.8363084287063,0,1,0.521258571124361,2.0,dha,0.003750061662765187,kamakshi
0,545.0706225957433,819.1061229572447,682.2368603068253,1227.3074829025686,870.9659703054401,699.9102050398333,693.8295889638738,869.3297027744586,1,0,1.0977783,-33.947147,-14.604915618896484,-18.409446716308594,302.7933573630063,661.4345208242842,509.178309218569,811.9716665815753,700.4577359790007,626.0327754391807,35.226487208342405,906.0457738707184,887.0586939461781,922.2851811545205,915.0040108787608,897.5968708598584,1,0,0.6525107293211426,3.0,dha,0.003750061662765187,kamakshi
0,80.0367476544476,798.4470066944373,742.6357569160041,822.6725045704517,812.1282276206249,788.5821427711184,794.296742152426,764.6704320534898,0,0,2.518238,-14.952404,-1.3897209167480469,-10.819293975830078,69.8853512514728,829.9907305996157,798.3730114130219,868.2583626644947,860.4486145906085,810.5923521838372,36.4689025781455,711.0566329519991,698.1917179989538,734.6606205770993,716.9745542136235,703.4412744180149,0,1,0.39375647459034463,4.0,dha,0.003750061662765187,kamakshi
0,336.97831292474143,731.6174606378542,523.723619564606,860.7019324893474,737.1704645637411,702.5588662258991,707.9922783374899,681.8582854456234,1,0,3.221775,-29.94678,0.9879331588745117,-2.545729637145996,14.327004199685462,699.0342312507679,686.359762545525,700.6867667452104,699.9102050398333,699.9102050398026,222.35868580781403,584.9857515949172,491.83736023065956,714.1960460384736,683.4507944008757,498.2044632543122,0,1,0.4650076461828832,5.0,dha,0.003750061662765187,kamakshi
0,140.84204126235625,720.5468955079118,678.6140474135245,819.4560886758808,726.7478601208038,699.4378986772441,687.0160532756494,761.9964426300688,1,0,3.139618,-19.917408,0.16397571563720703,-4.730086326599121,42.76940344864181,709.4893430811229,683.493951529444,726.2633549780858,715.3936857103923,702.5465528411253,201.13517324654674,624.6511558300624,522.835204060207,723.9703773067538,713.5542957006011,526.1736787962587,1,0,0.4650076461828832,6.0,dha,0.003750061662765187,kamakshi
0,123.30941631585688,731.8737256483001,696.5128883815598,819.8223046974167,726.2464302840992,708.0219596987388,700.593549898557,817.3862419553175,0,0,1.1775513,-26.216843,-5.473907470703125,-10.316108703613281,32.82887093781903,715.1490039308901,692.7374670451294,725.5663379829484,723.2353802278387,707.8709917993663,299.73087258241355,664.1730151564609,518.0099336032805,817.740806185694,765.6108418832526,542.5337664632885,1,0,0.4687577078456484,7.0,dha,0.003750061662765187,kamakshi
0,358.6802570196361,772.8441774873877,677.1454027125395,1035.8256597321756,735.2125432635968,714.3106482242574,705.8779945067325,1028.785919003415,0,0,1.2503471,-16.682175,-10.259384155273438,-14.674408912658691,283.49954063530896,732.7845638580266,474.87159399486916,758.3711346301782,654.7644862899227,524.4461704264016,34.553408229991305,913.3214839350194,887.2795405769144,921.8329488069057,921.219690404755,904.9713370385648,1,0,0.3675060429509883,8.0,dha,0.003750061662765187,kamakshi
0,133.3715322810889,813.9125580016946,732.253656121104,865.6251884021929,831.0304734304025,801.0807917591978,815.4714795635817,746.7934544063348,0,0,2.0955124,-45.79628,-3.1459426879882812,-28.72311019897461,592.5584171097996,1105.7742750605928,860.5472756769964,1453.105692786796,1369.7061447707283,873.8165927005696,31.290668132078395,702.3611543610153,699.048930320532,730.3395984526104,699.9494376370639,699.9102050398059,0,1,0.4912580778222395,9.0,dha,0.003750061662765187,kamakshi
